id,glb_comunas_corregimiento_id,descripcion,user_id,created_at,updated_at,deleted_at
0,0,Sin informacion,1,,,
1,21,3 ETAPA DEL JORDAN,1,,,
2,21,1 ETAPA DEL JORDAN,1,,,
3,27,12 DE OCTUBRE,1,,,
4,21,2 ETAPA DEL JORDAN,1,,,
5,18,20 DE JULIO,1,,,
6,21,3 ETAPA DEL JORDAN,1,,,
7,21,4 ETAPA DEL JORD�N,1,,,
8,21,5 ETAPA DEL JORDAN,1,,,
9,21,6 ETAPA DEL JORD�N,1,,,
10,18,7 DE AGOSTO,1,,,
11,21,7 ETAPA DEL JORD�N,1,,,
12,21,8 ETAPA DEL JORD�N,1,,,
13,21,9 ETAPA DEL JORD�N,1,,,
14,22,AGUA VIVA,1,,,
15,23,ALAMOS,1,,,
16,18,ALASKA,1,,,
17,29,ALBANIA,1,,,
18,20,ALFONSO LOPEZ,1,,,
19,25,ALFONSO URIBE BADILLO,1,,,
20,25,ALTAMIRA,1,,,
21,9,ALTO DE GUALANDAY,1,,,
22,27,ALTO DE LA CRUZ,1,,,
23,16,ALTO DEL COMBEIMA,1,,,
24,12,ALTO DEL TOCHE,1,,,
25,25,ALTOS DE BERLIN,1,,,
26,28,ALTOS DE LA CAROLINA,1,,,
27,22,ALTOS DE SAN FRANCISCO,1,,,
28,22,ALTOS DE VERGEL,1,,,
29,22,AMBALA,1,,,
30,1,AMBALA PARTE ALTA,1,,,
31,27,AMERICA,1,,,
32,18,ANCON,1,,,
33,1,ANCON TESORITO,1,,,
34,21,ANDALUC�A,1,,,
35,28,ANDRES LOPEZ DE GALARZA,1,,,
36,19,ANTONIO NARI�O,1,,,
37,25,APARCO,1,,,
38,27,ARADO,1,,,
39,25,ARBOLEDA,1,,,
40,25,ARBOLEDA CAMPESTRE,1,,,
41,21,ARBOLEDA MARGARITAS,1,,,
42,21,ARKACENTRO,1,,,
43,26,ARKALENA,1,,,
44,21,ARKAMONICA,1,,,
45,25,ARKANIZA I,1,,,
46,25,ARKANIZA II,1,,,
47,25,ARKAPARAISO,1,,,
48,21,ARRAYENES,1,,,
49,13,ASTILLEROS,1,,,
50,24,ATOLSURE,1,,,
51,17,AUGUSTO E MEDINA,1,,,
52,10,AURES,1,,,
53,28,AVENIDA,1,,,
54,22,BALCONES DEL VERGEL,1,,,
55,17,BALTAZAR,1,,,
56,24,BARLOVENTO,1,,,
57,19,BELALCAZAR,1,,,
58,18,BELEN,1,,,
59,18,BELENCITO,1,,,
60,1,BELLAVISTA,1,,,
61,25,BELLO HORIZONTE,1,,,
62,13,BERLIN,1,,,
63,29,BOQUER�N,1,,,
64,25,BOSQUE DE LA ALAMEDA,1,,,
65,27,BOSQUE PARTE ALTA,1,,,
66,27,BOSQUE PARTE BAJA,1,,,
67,26,BOSQUES DE SANTA HELENA,1,,,
68,22,BOSQUES DEL VERGEL,1,,,
69,26,BOYACA,1,,,
70,9,BRICE�O,1,,,
71,22,BRISAS DEL PEDREGAL,1,,,
72,9,BUENOS AIRES,1,,,
73,22,CA��AVERAL,1,,,
74,26,CADIZ,1,,,
75,19,CALAMBEO,1,,,
76,20,CALARCA,1,,,
77,21,CALATAYUD,1,,,
78,20,CAMBULOS,1,,,
79,22,CAMINOS DE JUAN PABLO II,1,,,
80,22,CAMINOS DE SAN FRANCISCO,1,,,
81,24,CAMINOS DEL BOSQUE,1,,,
82,22,CAMINOS DEL VERGEL,1,,,
83,16,CANADAS POTRERITO,1,,,
84,22,CANAVERAL,1,,,
85,22,CA�AVERAL I,1,,,
86,22,CA�AVERAL II,1,,,
87,20,CARACOLI,1,,,
88,14,CARMEN DE BULIRA,1,,,
89,19,CARMENZA ROCHA,1,,,
90,25,CARRENALES,1,,,
91,15,CARRIZALES,1,,,
92,26,CASA CLUB,1,,,
93,26,CASTELLANA,1,,,
94,20,CASTILLA,1,,,
95,11,CATAIMA,1,,,
96,11,CATAIMITA,1,,,
97,2,CAY,1,,,
98,23,CEIBITA,1,,,
99,18,CENTENARIO,1,,,
100,17,CENTRO,1,,,
101,18,CERRO DE PAN DE AZUCAR,1,,,
102,28,CERRO GORDO,1,,,
103,29,CERROS DE GRANATE,1,,,
104,13,CHAPETON,1,,,
105,16,CHARCO RICO,1,,,
106,7,CHARCO RICO ALTO,1,,,
107,15,CHEMBE,1,,,
108,23,CHICO,1,,,
109,15,CHINA ALTA,1,,,
110,10,CHINA MEDIA,1,,,
111,15,CHUCUNI,1,,,
112,24,CIUDADELA SIMON BOLIVAR I,1,,,
113,24,CIUDADELA SIMON BOLIVAR II,1,,,
114,24,CIUDADELA SIMON BOLIVAR III,1,,,
115,26,CLARET,1,,,
116,18,CLARITA BOTERO,1,,,
117,12,COELLO  SAN JUAN,1,,,
118,3,COELLO COCORA,1,,,
119,28,COLONIAS DE ASPROVI,1,,,
120,17,COMBEIMA,1,,,
121,25,COND LAS PALMERAS,1,,,
122,22,CONDOMINIO RONDA DEL VERGEL,1,,,
123,22,CONDOMINIO TIERRA ALTA,1,,,
124,24,CONJ RESIDENCIAL SAN JOAQUIN,1,,,
125,25,CONJ RESIDENCIAL VALPARAISO,1,,,
126,22,CONJUNTO CERRADO AMBALA,1,,,
127,22,CONJUNTO CERRADO LOS BALSOS,1,,,
128,21,CONJUNTO RESIDENCIAL LA ALAMEDA,1,,,
129,21,CORDOBITA,1,,,
130,16,CURAL COMBEIMA,1,,,
131,5,CURALITO,1,,,
132,4,DANTAS,1,,,
133,4,DANTAS DE LAS PLAYAS,1,,,
134,29,DAR�O ECHANDIA,1,,,
135,26,DEPARTAMENTAL,1,,,
136,22,ECOPARAISO,1,,,
137,24,"EL BUNDE I, II Y III",1,,,
138,24,EL BUNDE IV,1,,,
139,19,EL CARMEN,1,,,
140,7,EL CEDRAL,1,,,
141,15,EL COLEGIO,1,,,
142,13,EL CORAZON,1,,,
143,2,EL CURAL,1,,,
144,9,EL ECUADOR,1,,,
145,21,EL ED�N,1,,,
146,2,EL GALLO,1,,,
147,11,EL GUAICO,1,,,
148,11,EL INGENIO,1,,,
149,15,EL JAGUO,1,,,
150,22,EL MIRADOR,1,,,
151,11,EL MORAL,1,,,
152,27,EL REFUGIO I,1,,,
153,27,EL REFUGIO II,1,,,
154,13,EL RETIRO,1,,,
155,16,EL RODEO,1,,,
156,10,EL RUBI,1,,,
157,23,EL SALADO,1,,,
158,16,EL SALITRE,1,,,
159,13,EL SECRETO,1,,,
160,7,EL TEJAR,1,,,
161,16,EL TOTUMO,1,,,
162,22,EL TRIUNFO,1,,,
163,25,EL TUNAL,1,,,
164,17,ESTACION,1,,,
165,22,ESTANCIA DEL VERGEL,1,,,
166,25,FABIOLANDIA,1,,,
167,26,FEDERICO LLERAS,1,,,
168,19,FENALCO,1,,,
169,22,FUENTE DE LOS ROSALES,1,,,
170,22,FUENTE DE LOS ROSALES II,1,,,
171,20,GAITAN,1,,,
172,19,GAIT�N PARTE ALTA,1,,,
173,28,GALAN,1,,,
174,5,GAMBOA,1,,,
175,27,GARZON,1,,,
176,24,GERMAN HUERTAS,1,,,
177,29,GRANADA,1,,,
178,23,HACIENDA CAMPESTRE,1,,,
179,23,HACIENDA EL RECREO,1,,,
180,25,HACIENDA PIEDRA PINTADA,1,,,
181,26,HIPODROMO,1,,,
182,3,HONDURAS,1,,,
183,27,INDEPENDIENTE,1,,,
184,28,INDUSTRIAL,1,,,
185,19,INEM,1,,,
186,17,INTERLAKEN,1,,,
187,29,ISLA,1,,,
188,25,IWOKA,1,,,
189,20,JAKARANDA,1,,,
190,24,JARDIN I,1,,,
191,24,JARDIN III,1,,,
192,24,JARDIN PARTE BAJA,1,,,
193,24,"JARDIN SANTANDER I, II Y III",1,,,
194,24,JARDIN VALPARAISO,1,,,
195,29,JAZMIN,1,,,
196,20,JESUS MARIA CORDOBA,1,,,
197,25,JORDAN I ETAPA,1,,,
198,20,JOSE MARIA CORDOBA PARTE BAJA,1,,,
199,6,JUNTAS,1,,,
200,28,KENEDDY,1,,,
201,2,LA  CASCADA,1,,,
202,18,LA AURORA,1,,,
203,22,LA BALSA,1,,,
204,15,LA BELLEZA,1,,,
205,10,LA BETA,1,,,
206,21,LA CAMPI�A,1,,,
207,3,LA CIMA,1,,,
208,24,LA CIMA I,1,,,
209,24,LA CIMA II,1,,,
210,2,LA COQUETA,1,,,
211,14,LA CUEVA,1,,,
212,19,LA ESPERANZA,1,,,
213,9,LA FLOR,1,,,
214,25,LA FLORESTA,1,,,
215,25,LA FLORIDA,1,,,
216,7,LA FLORIDA BAJA,1,,,
217,26,LA FRANCIA,1,,,
218,28,LA GAITANA,1,,,
219,22,LA GAVIOTA,1,,,
220,19,LA GRANJA,1,,,
221,15,LA HELENA,1,,,
222,10,LA ISABELA,1,,,
223,27,LA ISLA,1,,,
224,21,LA LADERA,1,,,
225,3,LA LINDA,1,,,
226,13,LA MARIA COMBEIMA,1,,,
227,13,LA MARIA PIEDRA GRANDE DE LA CIMA,1,,,
228,27,LA MARTINICA,1,,,
229,16,LA MONTA�A,1,,,
230,15,LA PALMILLA,1,,,
231,18,LA PAZ,1,,,
232,1,LA PEDREGOZA,1,,,
233,13,LA PLATA DEL BRILLANTE,1,,,
234,13,LA PLATICA,1,,,
235,10,LA PLUMA,1,,,
236,17,LA POLA,1,,,
237,28,LA PRADERA,1,,,
238,28,LA REFORMA,1,,,
239,18,LA SOFIA,1,,,
240,18,LA TRINIDAD,1,,,
241,29,LA UNI�N,1,,,
242,2,LA VICTORIA,1,,,
243,10,LA VIOLETA,1,,,
244,19,LAS ACACIAS,1,,,
245,27,LAS BRISAS,1,,,
246,29,LAS COLINAS 1,1,,,
247,29,LAS COLINAS 2,1,,,
248,22,LAS DELICIAS,1,,,
249,27,LAS FERIAS,1,,,
250,21,LAS MARGARITAS,1,,,
251,21,LAS ORQU�DEAS,1,,,
252,26,LAS PALMAS,1,,,
253,28,LAS VEGAS,1,,,
254,8,LAURELES,1,,,
255,27,LIBERTAD,1,,,
256,17,LIBERTADOR,1,,,
257,20,LIMONAR,1,,,
258,20,LIMONAR V SECTOR,1,,,
259,13,LLANITOS,1,,,
260,16,LLANO DEL COMBEIMA,1,,,
261,3,LOMA DE COCORA,1,,,
262,22,LOS ALPES,1,,,
263,22,LOS ANGELES,1,,,
264,14,LOS CAUCHOS,1,,,
265,22,LOS CIRUELOS,1,,,
266,22,LOS MANDARINOS,1,,,
267,27,LOS MARTIRES,1,,,
268,23,LOS MUSICOS,1,,,
269,5,LOS NARANJOS,1,,,
270,25,LOS TUNJOS,1,,,
271,21,MACADAMIA,1,,,
272,26,MACARENA PARTE ALTA,1,,,
273,26,MACARENA PARTE BAJA,1,,,
274,26,MAGISTERIO,1,,,
275,18,MALAVAR,1,,,
276,15,MARIA CHINA,1,,,
277,16,MARTINICA,1,,,
278,28,MATAYANA,1,,,
279,26,METAIMA ALTA,1,,,
280,26,METAIMA PARTE BAJA,1,,,
281,9,MINA  VIEJA,1,,,
282,23,MIRADOR DE CANTABRIA,1,,,
283,29,MIRAMAR,1,,,
284,23,MODELIA I,1,,,
285,23,MODELIA II,1,,,
286,26,MONTEALEGRE,1,,,
287,22,MONTEMADERO,1,,,
288,22,MONTEVERDE DEL VERGEL,1,,,
289,3,MORROCHUSCO,1,,,
290,21,MULTICENTRO CLUB,1,,,
291,21,MULTIFAMILIARES EL JORDAN,1,,,
292,21,MULTIFAMILIARES LAS MARGARITAS,1,,,
293,28,MURILLO TORO,1,,,
294,24,MUSICALIA,1,,,
295,26,NACIONAL,1,,,
296,26,NACIONES UNIDAS,1,,,
297,23,NAZARET I,1,,,
298,23,NAZARET II,1,,,
299,23,NUEVA BILBAO,1,,,
300,20,OBRERO,1,,,
301,20,ONZAGA,1,,,
302,18,PABLO SEXTO,1,,,
303,24,PALERMO,1,,,
304,22,PALMA DEL VERGEL,1,,,
305,18,PARAISO,1,,,
306,22,PASEO DE SAN FRANCISCO,1,,,
307,13,PASTALES,1,,,
308,8,PASTOS COCORA,1,,,
309,23,PEDRO IGNACIO VILLA MARIN,1,,,
310,5,PE�ARANDA ALTA,1,,,
311,5,PE�ARANDA BAJA,1,,,
312,27,PE�ON,1,,,
313,5,PERICO,1,,,
314,25,PICALE�A,1,,,
315,9,PICALE�A SECTOR RURAL,1,,,
316,25,PICA�ELITA,1,,,
317,13,PICO DE ORO,1,,,
318,2,PIE DE CUESTA,1,,,
319,20,PIEDRA PINTADA,1,,,
320,20,PIJAO,1,,,
321,22,PLAZAS DEL BOSQUE,1,,,
322,17,POLA PARTE ALTA,1,,,
323,27,POPULAR,1,,,
324,25,PORTAL DE LOS TUNJOS,1,,,
325,24,PORTAL DEL JARDIN,1,,,
