id,glb_tipo_entidad_salud_id,codigo_entidad,glb_tipo_identificacion_id,identificacion,razon_social,direccion,telefono_fijo,telefono_movil,pagina_web,email,representante_legal,telefono,user_id,created_at,updated_at,deleted_at
0,1,0,21,0,Entidad de salud no definida,,,,,,,,1,2022-01-21 08:25:32.406702,,
1,1,EAS016,21,8909049961,SSS empresas publicas de medellin servicios medicos,Calle 78B # 69-240,094-3806900,,,,,,1,2022-01-21 08:25:32.406702,,
2,1,EAS027,21,8001128062,SSS fondo de pasivo social de ferrocarriles nacionales de colombia,Calle 13 # 18-24,091-2474474,,,,,,1,2022-01-21 08:25:32.406702,,
3,1,EPSC20,21,899999026,Caprecom Contributivo, Cr 5 # 21-61,2613524,,,,,,1,2022-01-21 08:25:32.406702,,
4,1,EPSIC6,21,809008362,Eps Pijao Salud  Contributivo ,KRA 8A # 17-22 INTERLAKEN ,2616201,,,,JOSE RENE DUCUARA DUCUARA,,1,2022-01-21 08:25:32.406702,,
5,1,EPSI06,21,809008362,Sss Pijaos Salud subsidiado,Cr8 A 17-22 Interlaken,2616201,,,,JOSE RENE DUCUARA DUCUARA,,1,2022-01-21 08:25:32.406702,,
6,1,EPSI33,21,804002105,Cooperativa De Salud Comunitaria-Comparta Regimen Subsidiado Actual, Cr4 D 32-12,2656527,,,,JORGE ANDRES CORTES,,1,2022-01-21 08:25:32.406702,,
7,1,EPSM03,21,800250119-1,Cafesalud Eps Regimen Movilidad Subdiado,Carrera 5 No. 38 - 04 Local 1,270 95 01,,,,,,1,2022-01-21 08:25:32.406702,,
8,1,EPSM33,21,900156264-2,Eps Saludvida En El Subsidiado,Calle 33 N�� 4D-42,2648793-2666987,,,,CLAUDIA HELENA DIAZ LOZANO,,1,2022-01-21 08:25:32.406702,,
10,1,EPSS02,21,800130907-4,Salud Total Subsidiado,Cr4 D 31-57 ,2709767,,,,,,1,2022-01-21 08:25:32.406702,,
11,1,EPSS03,21,800250119-1,Cafesalud Eps Regimen Subsidiado Actual,Cr5 28-85,270 95 01,,,,,,1,2022-01-21 08:25:32.406702,,
12,1,EPSS05,21,800251440-6,Salud Sanitas En E Subsidiado Movilidad,Cr5 30 B-15 , 264 1671 - 265 2739 - 264 8246,,,,,,1,2022-01-21 08:25:32.406702,,
13,1,EPSS13,21,800250119-1,Saludcoop Eps Subsidiado Movilidad,Cr 5 # 28-85,270 95 00,,,,,,1,2022-01-21 08:25:32.406702,,
14,1,EPSS16,21,805000427-1,Coomeva Eps Subdiado Movilidad,Cr 5 38-14,277 05 05,,,,,,1,2022-01-21 08:25:32.406702,,
15,1,EPSS17,21,830003564-7,Eps Famisanar Ltda Subdiado Movilidad,Cl 35 4 B-35,2655491,,,,,,1,2022-01-21 08:25:32.406702,,
16,1,EPSS33,21,860002183-9,Salud vida Actual Subsidiado,Calle 33 N?? 4D-42, 2648793-2666987,,,,CLAUDIA HELENA DIAZ LOZANO,,1,2022-01-21 08:25:32.406702,,
17,1,EPSS37,21,900156264,Nueva Eps Movilidad Subsidiado,Calle 31 No. 4 B  40, Cadiz.,266 30 00,,,LUISA FERNANDA MALAMBO,,1,2022-01-21 08:25:32.406702,,
18,1,EPSS39,21,900074992-3,Golden Group Subsidiado Movilidad,Cr5 31-06 C��diz,0,,,,,,1,2022-01-21 08:25:32.406702,,
19,1,EPSS41,21,900156264,Nueva Eps Subsidiada,KRA 4D No. 31-37 Barrio Cadiz,2663000,,,,LUISA FERNANDA MALAMBO,,1,2022-01-21 08:25:32.406702,,
20,1,EPS001,21,8301138310,SSS Colmedica entidad promotora de salud S.A.,Avenida Eldorado #69C-03 P-3,3240290,,,,,,1,2022-01-21 08:25:32.406702,,
21,1,EPS002,21,800130907-4,SSS salud total s.a. contributivo,Cr4 D 31-57,2709767,,,,,,1,2022-01-21 08:25:32.406702,,
22,1,EPS003,21,8001409496,SSS cafesalud EPS,Calle 73 #12-02 Piso 7�,3171820-2188977-2182892-2565543-2557885-2570579,,,,,,1,2022-01-21 08:25:32.406702,,
23,1,EPS005,21,8002514406,SSS E.P.S. sanitas S.A,Calle 100 #11B-95,6466080,,,,,,1,2022-01-21 08:25:32.406702,,
24,1,EPS006,21,8600138161,SSS instituto de seguros sociales,Carrera 10 #64-28,3437655 - 3437653,,,,,,1,2022-01-21 08:25:32.406702,,
25,1,EPS008,21,8600669427,SSS caja de compensacion familiar compensar,Avenida 68 #49A-47,4280666-4285244,,,,,,1,2022-01-21 08:25:32.406702,,
26,1,EPS009,21,8909008426,SSS caja de compensacion familiar comfenalco antioquia,Carrera 50 #53-43,(094) 5128363-5113133,,,,,,1,2022-01-21 08:25:32.406702,,
27,1,EPS010,21,8000887022,SSS compa�ia suramericana de servicios de salud s.a. SUSALUD,Calle 54 #46-27 P-9 Torre Fundadores Cl�nica Medell�n,(094) 4938600-5110499-5132051,,,,,,1,2022-01-21 08:25:32.406702,,
28,1,EPS012,21,8903030935,SSS Comfenalco Valle,Calle 5 # 6-63,(092) 8854444-8830747-8803910-8862727,,,,,,1,2022-01-21 08:25:32.406702,,
29,1,EPS013,21,8002501191,SSS Saludcoop EPS,Avenida 13 #109-20,6001050 Ext. 1701 - 6290634,,,,,,1,2022-01-21 08:25:32.406702,,
30,1,EPS014,21,8300064040,SSS Humana Vivir S.A. EPS,Calle 76 #11-52,5460920-5462016-3133050/60/47,,,,,,1,2022-01-21 08:25:32.406702,,
31,1,EPS015,21,8605122376,SSS Salud Colpatria S.A.,Avenida 19 #114-65 Piso 3,6400310/11,,,,,,1,2022-01-21 08:25:32.406702,,
32,1,EPS016,21,8050004271,SSS Coomeva EPS S.A.,Carrera 13 #57-50 Piso 2,(092) 3330000 Ext. 2708,,,,,,1,2022-01-21 08:25:32.406702,,
33,1,EPS017,21,8300035647,SSS E.P.S. Famisanar Ltda. Cafam Colsubsidio,Carrera 13A #77A-63,6500200,,,,,,1,2022-01-21 08:25:32.406702,,
34,1,EPS018,21,8050011572,Servicio Occidental de Salud S.O.S. S.A.,Avenida de las Am�ricas     #23N-55,(092) 6848686 Ext. 300 � 306- 6614353,,,,,,1,2022-01-21 08:25:32.406702,,
35,1,EPS020,21,8999990260,SSS Caprecom  Subsidiado,Cr 5 # 21-61,2613524,,,,,,1,2022-01-21 08:25:32.406702,,
36,1,EPS023,21,8300097830,SSS Cruz blanca S.A.,Calle 86 A #14-17,6446000-6446100 Ext. 1700,,,,,,1,2022-01-21 08:25:32.406702,,
