id,sigla,descripcion,user_id,created_at,updated_at,deleted_at
1,AS,Adulto Sin Identificacion,1,2021-09-29 14:32:05.000000,2021-09-29 14:32:05.000000,
2,CC,Cedula De Ciudadania,1,2021-09-29 14:32:05.000000,2021-09-29 14:32:05.000000,
3,CE,Cedula De Extrajeria,1,2021-09-29 14:32:05.000000,2021-09-29 14:32:05.000000,
4,MS,Menor Sin Identificacion,1,2021-09-29 14:32:05.000000,2021-09-29 14:32:05.000000,
5,NIP,Numero Identificacion Personal,1,2021-09-29 14:32:05.000000,2021-09-29 14:32:05.000000,
6,NUI,NUmero Único de Identificacion Personal,1,2021-09-29 14:32:05.000000,2021-09-29 14:32:05.000000,
7,NV,Certificado Nacido Vivo,1,2021-09-29 14:32:05.000000,2021-09-29 14:32:05.000000,
8,OT,Otros,1,2021-09-29 14:32:05.000000,2021-09-29 14:32:05.000000,
9,PA,Pasaporte,1,2021-09-29 14:32:05.000000,2021-09-29 14:32:05.000000,
10,RC,Registro Civil,1,2021-09-29 14:32:05.000000,2021-09-29 14:32:05.000000,
11,TI,Tarjeta de Identidad,1,2021-09-29 14:32:05.000000,2021-09-29 14:32:05.000000,
12,0,Sin Clasificar,1,2021-09-29 14:32:05.000000,2021-09-29 14:32:05.000000,
13,CN,Certificado de Nacido Vivo,1,2021-09-29 14:32:05.000000,2021-09-29 14:32:05.000000,
14,PE,Permiso Especial de Permanencia PE,1,2021-09-29 14:32:05.000000,2021-09-29 14:32:05.000000,
15,SA,Salvoconducto,1,2021-09-29 14:32:05.000000,2021-09-29 14:32:05.000000,
16,CD,Carnet Diplomatico,1,2021-09-29 14:32:05.000000,2021-09-29 14:32:05.000000,
17,DE,Documento Extranjero,1,2021-09-29 14:32:05.000000,2021-09-29 14:32:05.000000,
18,PEP,Permiso Especial de permanencia,1,2021-09-29 14:32:05.000000,2021-09-29 14:32:05.000000,
19,SC,Salvoconducto de permanencia,1,2021-09-29 14:32:05.000000,2021-09-29 14:32:05.000000,
20,PT,Permiso por Protecci¿¿n Temporal PPT,1,2021-09-29 14:32:05.000000,2021-09-29 14:32:05.000000,
21,NIT,NIT,1,2022-01-18 10:53:56.000000,2022-01-18 10:54:24.000000,
